work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,Data Analyst,81000,EUR,81000,DE,100,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,972000,EUR,9720,DE,100,DE,M
2023,EX,FT,Data Engineer,81000,EUR,81000,DE,0,DE,M
2023,EX,FT,Data Scientist,194400,EUR,194400,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,178200,EUR,178200,DE,0,DE,M
2023,EX,FT,Data Analyst,127116,EUR,127116,DE,0,DE,M
2023,EX,FT,Data Scientist,125550,EUR,125550,DE,0,DE,M
2023,EX,FT,Data Analyst,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Data Engineer,145800,EUR,145800,DE,100,DE,M
2023,EX,FT,Data Analyst,140940,EUR,140940,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,123120,EUR,123120,DE,0,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,100,DE,M
2023,EX,FT,Data Scientist,125550,EUR,125550,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,97200,EUR,97200,DE,100,DE,M
2023,EX,FT,Data Engineer,153900,EUR,153900,DE,100,DE,M
2023,EX,FT,Data Scientist,178200,EUR,178200,DE,100,DE,M
2023,EX,FT,Data Analyst,108000,EUR,108000,DE,100,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,0,DE,M
2023,EX,FT,Machine Learning Engineer,171000,EUR,171000,DE,100,DE,M
2023,EX,FT,Data Engineer,97200,EUR,97200,DE,0,DE,M
2023,EX,FT,Data Scientist,97200,EUR,97200,DE,100,DE,M
2023,EX,FT,Data Analyst,107730,EUR,107730,DE,0,DE,M
2023,EX,FT,Data Engineer,105300,EUR,105300,DE,0,DE,M
2023,EX,FT,Data Analyst,81000,EUR,81000,DE,100,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Machine Learning Engineer,153900,EUR,153900,DE,0,DE,M
